População Recenseada,Taxas de Crescimento Populacional e Densidade Demográfica;;;;;;;;;;;;;
Município de São Paulo, Subprefeituras e Distritos Municipais;;;;;;;;;;;;;
1980, 1991, 2000 e 2010;;;;;;;;;;;;;
;;;;;;;;;;;;;
Unidades Territoriais;Subprefeitura;População;;;;Taxas de Crescimento;;;Área;Densidade (pop/ha);;;
;;1980;1991;2000;2010;1980/91;1991/2000;2000/2010;(ha);1980;1991;2000;2010
MSP;;8,493,226;9,646,185;10,434,252;11,253,503;1.16;0.88;0.76;150,900;56.28;63.92;69.15;74.58
Aricanduva;Aricanduva/Formosa/Carrão;92,790;96,512;94,813;89,622;0.36;-0.2;-0.56;660;140.59;146.23;143.66;135.79
Carrão;Aricanduva/Formosa/Carrão;99,218;87,336;78,175;83,281;-1.15;-1.22;0.63;750;132.29;116.45;104.23;111.04
Vila Formosa;Aricanduva/Formosa/Carrão;106,108;97,940;93,850;94,799;-0.73;-0.47;0.1;740;143.39;132.35;126.82;128.11
Butantã;Butantã;56,934;58,019;52,649;54,196;0.17;-1.07;0.29;1,250;45.55;46.42;42.12;43.36
Morumbi;Butantã;31,077;40,031;34,588;46,957;2.33;-1.61;3.1;1,140;27.26;35.11;30.34;41.19
Raposo Tavares;Butantã;49,370;82,890;91,204;100,164;4.82;1.07;0.94;1,260;39.18;65.79;72.38;79.5
Rio Pequeno;Butantã;84,798;102,791;111,756;118,459;1.76;0.93;0.58;970;87.42;105.97;115.21;122.12
Vila Sônia;Butantã;62,853;83,006;87,379;108,441;2.56;0.57;2.18;990;63.49;83.84;88.26;109.54
Campo Limpo;Campo Limpo;110,556;159,471;191,527;211,361;3.39;2.06;0.99;1,280;86.37;124.59;149.63;165.13
Capão Redondo;Campo Limpo;128,194;193,497;240,793;268,729;3.81;2.46;1.1;1,360;94.26;142.28;177.05;197.59
Vila Andrade;Campo Limpo;22,584;42,576;73,649;127,015;5.93;6.28;5.6;1,030;21.93;41.34;71.5;123.32
Cidade Dutra;Capela do Socorro;122,990;168,821;191,389;196,360;2.92;1.4;0.26;2,930;41.98;57.62;65.32;67.02
Grajaú;Capela do Socorro;117,301;193,754;333,436;360,787;4.67;6.22;0.79;9,200;12.75;21.06;36.24;39.22
