Entity;Code;Year;Under-5s;Under age 15;Under age 15;Under-5s;Under age 25;Under age 25;25-64 years; 65+ years ; Total population ;Ratio Old
Afghanistan;AFG;2019;;15627600;;5403646;;23746637;12476843; 985,527.00 ; 37,209,007.00 ;0.026486248
Albania;ALB;2019;;497175;;169624;;947602;1578176; 412,650.00 ; 2,938,428.00 ;0.140432231
Algeria;DZA;2019;;12643920;;4479944;;18601494;21241806; 2,835,718.00 ; 42,679,018.00 ;0.066442906
Angola;AGO;2019;;14742984;;5659766;;20903803;10081868; 801,895.00 ; 31,787,566.00 ;0.025226688
Antigua and Barbuda;ATG;2019;;24250;;8094;;41309;55009; 7,766.00 ; 104,084.00 ;0.074612813
Argentina;ARG;2019;;11043891;;3713968;;18024335;21899361; 5,178,085.00 ; 45,101,781.00 ;0.114808881
Armenia;ARM;2019;;589973;;189877;;944883;1647930; 343,893.00 ; 2,936,706.00 ;0.11710161
Aruba;ABW;2019;;18464;;5650;;33357;57748; 14,948.00 ; 106,053.00 ;0.140948394
Australia;AUS;2019;;4825114;;1638684;;7926559;13149653; 4,012,424.00 ; 25,088,636.00 ;0.159929938
Austria;AUT;2019;;1238167;;424567;;2152666;4896007; 1,717,528.00 ; 8,766,201.00 ;0.195926149
Azerbaijan;AZE;2019;;2335737;;826681;;3729043;5634596; 650,936.00 ; 10,014,575.00 ;0.064998864
Bahamas;BHS;2019;;82621;;27895;;140928;222871; 39,296.00 ; 403,095.00 ;0.097485704
Bahrain;BHR;2019;;306012;;108465;;502820;1093804; 41,272.00 ; 1,637,896.00 ;0.025198181
Bangladesh;BGD;2019;;45951368;;14944982;;77767706;81650174; 8,648,040.00 ; 168,065,920.00 ;0.051456238
Barbados;BRB;2019;;53988;;17054;;90177;151334; 45,499.00 ; 287,010.00 ;0.158527577
Belarus;BLR;2019;;1625146;;562139;;2546244;5442427; 1,445,203.00 ; 9,433,874.00 ;0.153192951
Belgium;BEL;2019;;1992661;;661139;;3293056;6076703; 2,193,025.00 ; 11,562,784.00 ;0.189662369
Belize;BLZ;2019;;118660;;41587;;197463;177226; 15,542.00 ; 390,231.00 ;0.039827692
Benin;BEN;2019;;4980752;;1874195;;7323052;4093117; 385,426.00 ; 11,801,595.00 ;0.032658806
Bhutan;BTN;2019;;213770;;70396;;362856;421180; 42,193.00 ; 826,229.00 ;0.051066956
Bolivia;BOL;2019;;3514892;;1207730;;5672911;4913701; 793,249.00 ; 11,379,861.00 ;0.069706387
Bosnia and Herzegovina;BIH;2019;;496716;;159874;;919264;1971052; 611,458.00 ; 3,501,774.00 ;0.174613781
Botswana;BWA;2019;;734283;;257544;;1164370;1110460; 99,806.00 ; 2,374,636.00 ;0.042030021
Brazil;BRA;2019;;44615446;;14448386;;78550275;114290789; 19,551,653.00 ; 212,392,717.00 ;0.092054253
Brunei;BRN;2019;;97966;;33403;;168447;247903; 22,986.00 ; 439,336.00 ;0.052319865
Bulgaria;BGR;2019;;1013677;;323152;;1630433;3869068; 1,489,238.00 ; 6,988,739.00 ;0.213091088
Burkina Faso;BFA;2019;;9079212;;3408292;;13169067;6663312; 489,181.00 ; 20,321,560.00 ;0.02407202
Burundi;BDI;2019;;5221615;;2054766;;7379730;3888840; 307,394.00 ; 11,575,964.00 ;0.026554506
Cambodia;KHM;2019;;5128267;;1783028;;8151207;7553603; 777,836.00 ; 16,482,646.00 ;0.047191209
Cameroon;CMR;2019;;10692850;;3964922;;15683267;8829296; 800,430.00 ; 25,312,993.00 ;0.03162131
Canada;CAN;2019;;6017340;;1980114;;10330514;20298257; 6,651,040.00 ; 37,279,811.00 ;0.17840863
Cape Verde;CPV;2019;;164732;;55152;;276986;257710; 25,653.00 ; 560,349.00 ;0.045780398
Central African Republic;CAF;2019;;2049498;;733288;;3081436;1568807; 175,468.00 ; 4,825,711.00 ;0.036361067
Chad;TCD;2019;;7362697;;2836129;;10621180;4795773; 397,392.00 ; 15,814,345.00 ;0.025128578
Channel Islands;OWID_CIS;2019;;24000;;7829;;42026;93456; 31,346.00 ; 166,828.00 ;0.187894118
Chile;CHL;2019;;3645589;;1180170;;6283638;9883052; 2,169,963.00 ; 18,336,653.00 ;0.11834019
Mainland China;CHN;2019;;249158081;;82343115;;410356447;843277514; 166,428,061.00 ; 1,420,062,022.00 ;0.117197741
Colombia;COL;2019;;11296005;;3613578;;19387572;26314457; 4,147,789.00 ; 49,849,818.00 ;0.0832057
Comoros;COM;2019;;334302;;122514;;500213;324699; 25,998.00 ; 850,910.00 ;0.030553172
